,Régions,Milieu,Sexe,raison,POPULATION
31,Gouvernorat de Bizerte,Communal,Féminin,Accompagnement de la famille,3491
32,Gouvernorat de Bizerte,Rural,Masculin,Accompagnement de la famille,548
33,Gouvernorat de Bizerte,Rural,Féminin,Accompagnement de la famille,801
34,Nord Ouest,Communal,Masculin,Accompagnement de la famille,5276
35,Nord Ouest,Communal,Féminin,Accompagnement de la famille,9055
36,Nord Ouest,Rural,Masculin,Accompagnement de la famille,2160
37,Nord Ouest,Rural,Féminin,Accompagnement de la famille,3662
38,Gouvernorat de Bèja,Communal,Masculin,Accompagnement de la famille,1238
39,Gouvernorat de Bèja,Communal,Féminin,Accompagnement de la famille,2207
40,Gouvernorat de Bèja,Rural,Masculin,Accompagnement de la famille,417
41,Gouvernorat de Bèja,Rural,Féminin,Accompagnement de la famille,719
42,Gouvernorat de Jendouba,Communal,Masculin,Accompagnement de la famille,1427
43,Gouvernorat de Jendouba,Communal,Féminin,Accompagnement de la famille,2261
44,Gouvernorat de Jendouba,Rural,Masculin,Accompagnement de la famille,687
45,Gouvernorat de Jendouba,Rural,Féminin,Accompagnement de la famille,1114
46,Gouvernorat du Kef,Communal,Masculin,Accompagnement de la famille,1407
47,Gouvernorat du Kef,Communal,Féminin,Accompagnement de la famille,2542
48,Gouvernorat du Kef,Rural,Masculin,Accompagnement de la famille,510
49,Gouvernorat du Kef,Rural,Féminin,Accompagnement de la famille,866
50,Gouvernorat de Siliana,Communal,Masculin,Accompagnement de la famille,1204
51,Gouvernorat de Siliana,Communal,Féminin,Accompagnement de la famille,2045
52,Gouvernorat de Siliana,Rural,Masculin,Accompagnement de la famille,546
53,Gouvernorat de Siliana,Rural,Féminin,Accompagnement de la famille,963
54,Centre Est,Communal,Masculin,Accompagnement de la famille,12471
55,Centre Est,Communal,Féminin,Accompagnement de la famille,21340
56,Centre Est,Rural,Masculin,Accompagnement de la famille,863
57,Centre Est,Rural,Féminin,Accompagnement de la famille,1358
58,Gouvernorat de Sousse,Communal,Masculin,Accompagnement de la famille,3612
59,Gouvernorat de Sousse,Communal,Féminin,Accompagnement de la famille,6279
60,Gouvernorat de Sousse,Rural,Masculin,Accompagnement de la famille,92
61,Gouvernorat de Sousse,Rural,Féminin,Accompagnement de la famille,158
62,Gouvernorat de Monastir,Communal,Masculin,Accompagnement de la famille,2269
63,Gouvernorat de Monastir,Communal,Féminin,Accompagnement de la famille,3805
64,Gouvernorat de Mahdia,Communal,Masculin,Accompagnement de la famille,825
65,Gouvernorat de Mahdia,Communal,Féminin,Accompagnement de la famille,1497
66,Gouvernorat de Mahdia,Rural,Masculin,Accompagnement de la famille,246
67,Gouvernorat de Mahdia,Rural,Féminin,Accompagnement de la famille,351
68,Gouvernorat de Sfax,Communal,Masculin,Accompagnement de la famille,5765
69,Gouvernorat de Sfax,Communal,Féminin,Accompagnement de la famille,9759
70,Gouvernorat de Sfax,Rural,Masculin,Accompagnement de la famille,525
71,Gouvernorat de Sfax,Rural,Féminin,Accompagnement de la famille,849
72,Centre Ouest,Communal,Masculin,Accompagnement de la famille,4939
73,Centre Ouest,Communal,Féminin,Accompagnement de la famille,8279
74,Centre Ouest,Rural,Masculin,Accompagnement de la famille,2691
75,Centre Ouest,Rural,Féminin,Accompagnement de la famille,4288
76,Gouvernorat de Kairouan,Communal,Masculin,Accompagnement de la famille,2337
77,Gouvernorat de Kairouan,Communal,Féminin,Accompagnement de la famille,4012
78,Gouvernorat de Kairouan,Rural,Masculin,Accompagnement de la famille,1245
79,Gouvernorat de Kairouan,Rural,Féminin,Accompagnement de la famille,1939
80,Gouvernorat de Kasserine,Communal,Masculin,Accompagnement de la famille,1413
81,Gouvernorat de Kasserine,Communal,Féminin,Accompagnement de la famille,2282
82,Gouvernorat de Kasserine,Rural,Masculin,Accompagnement de la famille,851
83,Gouvernorat de Kasserine,Rural,Féminin,Accompagnement de la famille,1375
84,Gouvernorat de Sidi Bouzid,Communal,Masculin,Accompagnement de la famille,1189
85,Gouvernorat de Sidi Bouzid,Communal,Féminin,Accompagnement de la famille,1985
86,Gouvernorat de Sidi Bouzid,Rural,Masculin,Accompagnement de la famille,595
87,Gouvernorat de Sidi Bouzid,Rural,Féminin,Accompagnement de la famille,974
88,Sud Est,Communal,Masculin,Accompagnement de la famille,5440
89,Sud Est,Communal,Féminin,Accompagnement de la famille,9427
90,Sud Est,Rural,Masculin,Accompagnement de la famille,1313
91,Sud Est,Rural,Féminin,Accompagnement de la famille,2344
92,Gouvernorat de Gabès,Communal,Masculin,Accompagnement de la famille,2149
93,Gouvernorat de Gabès,Communal,Féminin,Accompagnement de la famille,3942
94,Gouvernorat de Gabès,Rural,Masculin,Accompagnement de la famille,378
95,Gouvernorat de Gabès,Rural,Féminin,Accompagnement de la famille,658
96,Gouvernorat de Medenine,Communal,Masculin,Accompagnement de la famille,2401
97,Gouvernorat de Medenine,Communal,Féminin,Accompagnement de la famille,4027
98,Gouvernorat de Medenine,Rural,Masculin,Accompagnement de la famille,575
99,Gouvernorat de Medenine,Rural,Féminin,Accompagnement de la famille,1067
100,Gouvernorat de Tataouine,Communal,Masculin,Accompagnement de la famille,890
101,Gouvernorat de Tataouine,Communal,Féminin,Accompagnement de la famille,1458
102,Gouvernorat de Tataouine,Rural,Masculin,Accompagnement de la famille,360
103,Gouvernorat de Tataouine,Rural,Féminin,Accompagnement de la famille,619
104,Sud Ouest,Communal,Masculin,Accompagnement de la famille,1791
105,Sud Ouest,Communal,Féminin,Accompagnement de la famille,2993
106,Sud Ouest,Rural,Masculin,Accompagnement de la famille,1208
107,Sud Ouest,Rural,Féminin,Accompagnement de la famille,1995
108,Gouvernorat de Gafsa,Communal,Masculin,Accompagnement de la famille,937
109,Gouvernorat de Gafsa,Communal,Féminin,Accompagnement de la famille,1555
110,Gouvernorat de Gafsa,Rural,Masculin,Accompagnement de la famille,1032
111,Gouvernorat de Gafsa,Rural,Féminin,Accompagnement de la famille,1702
112,Gouvernorat de Tozeur,Communal,Masculin,Accompagnement de la famille,447
113,Gouvernorat de Tozeur,Communal,Féminin,Accompagnement de la famille,738
114,Gouvernorat de Tozeur,Rural,Masculin,Accompagnement de la famille,46
115,Gouvernorat de Tozeur,Rural,Féminin,Accompagnement de la famille,67
0,Tunisie,Communal,Masculin,Etudes,19275
1,Tunisie,Communal,Féminin,Etudes,16363
2,Tunisie,Rural,Masculin,Etudes,2745
3,Tunisie,Rural,Féminin,Etudes,2233
4,Nord Est,Communal,Masculin,Etudes,6062
5,Nord Est,Communal,Féminin,Etudes,5429
6,Nord Est,Rural,Masculin,Etudes,167
7,Nord Est,Rural,Féminin,Etudes,156
8,Gouvernorat de Tunis,Communal,Masculin,Etudes,2355
9,Gouvernorat de Tunis,Communal,Féminin,Etudes,2096
10,Gouvernorat de L'Ariana,Communal,Masculin,Etudes,306
11,Gouvernorat de L'Ariana,Communal,Féminin,Etudes,266
12,Gouvernorat de L'Ariana,Rural,Masculin,Etudes,4
13,Gouvernorat de L'Ariana,Rural,Féminin,Etudes,11
14,Gouvernorat de Ben Arous,Communal,Masculin,Etudes,423
15,Gouvernorat de Ben Arous,Communal,Féminin,Etudes,332
16,Gouvernorat de Ben Arous,Rural,Masculin,Etudes,0
17,Gouvernorat de Ben Arous,Rural,Féminin,Etudes,3
18,Gouvernorat de Manouba,Communal,Masculin,Etudes,184
19,Gouvernorat de Manouba,Communal,Féminin,Etudes,199
20,Gouvernorat de Manouba,Rural,Masculin,Etudes,2
21,Gouvernorat de Manouba,Rural,Féminin,Etudes,9
22,Gouvernorat de Nabeul,Communal,Masculin,Etudes,1689
23,Gouvernorat de Nabeul,Communal,Féminin,Etudes,1425
24,Gouvernorat de Nabeul,Rural,Masculin,Etudes,61
25,Gouvernorat de Nabeul,Rural,Féminin,Etudes,36
26,Gouvernorat de Zaghouan,Communal,Masculin,Etudes,255
27,Gouvernorat de Zaghouan,Communal,Féminin,Etudes,214
28,Gouvernorat de Zaghouan,Rural,Masculin,Etudes,27
29,Gouvernorat de Zaghouan,Rural,Féminin,Etudes,23
30,Gouvernorat de Bizerte,Communal,Masculin,Etudes,850
31,Gouvernorat de Bizerte,Communal,Féminin,Etudes,897
32,Gouvernorat de Bizerte,Rural,Masculin,Etudes,73
33,Gouvernorat de Bizerte,Rural,Féminin,Etudes,74
34,Nord Ouest,Communal,Masculin,Etudes,1932
35,Nord Ouest,Communal,Féminin,Etudes,1767
36,Nord Ouest,Rural,Masculin,Etudes,382
37,Nord Ouest,Rural,Féminin,Etudes,381
38,Gouvernorat de Bèja,Communal,Masculin,Etudes,463
39,Gouvernorat de Bèja,Communal,Féminin,Etudes,395
40,Gouvernorat de Bèja,Rural,Masculin,Etudes,75
41,Gouvernorat de Bèja,Rural,Féminin,Etudes,68
42,Gouvernorat de Jendouba,Communal,Masculin,Etudes,491
43,Gouvernorat de Jendouba,Communal,Féminin,Etudes,494
44,Gouvernorat de Jendouba,Rural,Masculin,Etudes,131
45,Gouvernorat de Jendouba,Rural,Féminin,Etudes,133
46,Gouvernorat du Kef,Communal,Masculin,Etudes,517
47,Gouvernorat du Kef,Communal,Féminin,Etudes,547
48,Gouvernorat du Kef,Rural,Masculin,Etudes,92
49,Gouvernorat du Kef,Rural,Féminin,Etudes,102
50,Gouvernorat de Siliana,Communal,Masculin,Etudes,461
51,Gouvernorat de Siliana,Communal,Féminin,Etudes,331
52,Gouvernorat de Siliana,Rural,Masculin,Etudes,84
53,Gouvernorat de Siliana,Rural,Féminin,Etudes,78
54,Centre Est,Communal,Masculin,Etudes,4654
55,Centre Est,Communal,Féminin,Etudes,3879
56,Centre Est,Rural,Masculin,Etudes,266
57,Centre Est,Rural,Féminin,Etudes,194
58,Gouvernorat de Sousse,Communal,Masculin,Etudes,1004
59,Gouvernorat de Sousse,Communal,Féminin,Etudes,986
60,Gouvernorat de Sousse,Rural,Masculin,Etudes,24
61,Gouvernorat de Sousse,Rural,Féminin,Etudes,11
62,Gouvernorat de Monastir,Communal,Masculin,Etudes,962
63,Gouvernorat de Monastir,Communal,Féminin,Etudes,842
64,Gouvernorat de Mahdia,Communal,Masculin,Etudes,901
65,Gouvernorat de Mahdia,Communal,Féminin,Etudes,659
66,Gouvernorat de Mahdia,Rural,Masculin,Etudes,89
67,Gouvernorat de Mahdia,Rural,Féminin,Etudes,52
68,Gouvernorat de Sfax,Communal,Masculin,Etudes,1787
69,Gouvernorat de Sfax,Communal,Féminin,Etudes,1392
70,Gouvernorat de Sfax,Rural,Masculin,Etudes,153
71,Gouvernorat de Sfax,Rural,Féminin,Etudes,131
72,Centre Ouest,Communal,Masculin,Etudes,2881
73,Centre Ouest,Communal,Féminin,Etudes,1993
74,Centre Ouest,Rural,Masculin,Etudes,820
75,Centre Ouest,Rural,Féminin,Etudes,559
76,Gouvernorat de Kairouan,Communal,Masculin,Etudes,1100
77,Gouvernorat de Kairouan,Communal,Féminin,Etudes,919
78,Gouvernorat de Kairouan,Rural,Masculin,Etudes,234
79,Gouvernorat de Kairouan,Rural,Féminin,Etudes,200
80,Gouvernorat de Kasserine,Communal,Masculin,Etudes,788
81,Gouvernorat de Kasserine,Communal,Féminin,Etudes,487
82,Gouvernorat de Kasserine,Rural,Masculin,Etudes,309
83,Gouvernorat de Kasserine,Rural,Féminin,Etudes,171
84,Gouvernorat de Sidi Bouzid,Communal,Masculin,Etudes,993
85,Gouvernorat de Sidi Bouzid,Communal,Féminin,Etudes,587
86,Gouvernorat de Sidi Bouzid,Rural,Masculin,Etudes,277
87,Gouvernorat de Sidi Bouzid,Rural,Féminin,Etudes,188
88,Sud Est,Communal,Masculin,Etudes,2519
89,Sud Est,Communal,Féminin,Etudes,2352
90,Sud Est,Rural,Masculin,Etudes,254
91,Sud Est,Rural,Féminin,Etudes,252
92,Gouvernorat de Gabès,Communal,Masculin,Etudes,915
93,Gouvernorat de Gabès,Communal,Féminin,Etudes,1028
94,Gouvernorat de Gabès,Rural,Masculin,Etudes,91
95,Gouvernorat de Gabès,Rural,Féminin,Etudes,66
96,Gouvernorat de Medenine,Communal,Masculin,Etudes,1227
97,Gouvernorat de Medenine,Communal,Féminin,Etudes,1022
98,Gouvernorat de Medenine,Rural,Masculin,Etudes,115
99,Gouvernorat de Medenine,Rural,Féminin,Etudes,109
100,Gouvernorat de Tataouine,Communal,Masculin,Etudes,377
101,Gouvernorat de Tataouine,Communal,Féminin,Etudes,302
102,Gouvernorat de Tataouine,Rural,Masculin,Etudes,48
103,Gouvernorat de Tataouine,Rural,Féminin,Etudes,77
104,Sud Ouest,Communal,Masculin,Etudes,1227
105,Sud Ouest,Communal,Féminin,Etudes,943
106,Sud Ouest,Rural,Masculin,Etudes,856
107,Sud Ouest,Rural,Féminin,Etudes,691
108,Gouvernorat de Gafsa,Communal,Masculin,Etudes,438
109,Gouvernorat de Gafsa,Communal,Féminin,Etudes,344
110,Gouvernorat de Gafsa,Rural,Masculin,Etudes,761
111,Gouvernorat de Gafsa,Rural,Féminin,Etudes,609
112,Gouvernorat de Tozeur,Communal,Masculin,Etudes,313
113,Gouvernorat de Tozeur,Communal,Féminin,Etudes,206
114,Gouvernorat de Tozeur,Rural,Masculin,Etudes,33
115,Gouvernorat de Tozeur,Rural,Féminin,Etudes,24
0,Tunisie,Communal,Masculin,Autres,10346
1,Tunisie,Communal,Féminin,Autres,9653
2,Tunisie,Rural,Masculin,Autres,1030
3,Tunisie,Rural,Féminin,Autres,1220
4,Nord Est,Communal,Masculin,Autres,5402
5,Nord Est,Communal,Féminin,Autres,4996
6,Nord Est,Rural,Masculin,Autres,166
7,Nord Est,Rural,Féminin,Autres,200
8,Gouvernorat de Tunis,Communal,Masculin,Autres,2748
9,Gouvernorat de Tunis,Communal,Féminin,Autres,2619
10,Gouvernorat de L'Ariana,Communal,Masculin,Autres,586
11,Gouvernorat de L'Ariana,Communal,Féminin,Autres,533
12,Gouvernorat de L'Ariana,Rural,Masculin,Autres,6
13,Gouvernorat de L'Ariana,Rural,Féminin,Autres,5
14,Gouvernorat de Ben Arous,Communal,Masculin,Autres,859
15,Gouvernorat de Ben Arous,Communal,Féminin,Autres,763
16,Gouvernorat de Ben Arous,Rural,Masculin,Autres,14
17,Gouvernorat de Ben Arous,Rural,Féminin,Autres,11
18,Gouvernorat de Manouba,Communal,Masculin,Autres,296
19,Gouvernorat de Manouba,Communal,Féminin,Autres,295
20,Gouvernorat de Manouba,Rural,Masculin,Autres,14
21,Gouvernorat de Manouba,Rural,Féminin,Autres,22
22,Gouvernorat de Nabeul,Communal,Masculin,Autres,534
23,Gouvernorat de Nabeul,Communal,Féminin,Autres,458
24,Gouvernorat de Nabeul,Rural,Masculin,Autres,63
25,Gouvernorat de Nabeul,Rural,Féminin,Autres,76
26,Gouvernorat de Zaghouan,Communal,Masculin,Autres,87
27,Gouvernorat de Zaghouan,Communal,Féminin,Autres,83
28,Gouvernorat de Zaghouan,Rural,Masculin,Autres,25
29,Gouvernorat de Zaghouan,Rural,Féminin,Autres,42
30,Gouvernorat de Bizerte,Communal,Masculin,Autres,292
31,Gouvernorat de Bizerte,Communal,Féminin,Autres,245
32,Gouvernorat de Bizerte,Rural,Masculin,Autres,44
33,Gouvernorat de Bizerte,Rural,Féminin,Autres,44
34,Nord Ouest,Communal,Masculin,Autres,595
35,Nord Ouest,Communal,Féminin,Autres,623
36,Nord Ouest,Rural,Masculin,Autres,247
37,Nord Ouest,Rural,Féminin,Autres,296
38,Gouvernorat de Bèja,Communal,Masculin,Autres,136
39,Gouvernorat de Bèja,Communal,Féminin,Autres,143
40,Gouvernorat de Bèja,Rural,Masculin,Autres,48
41,Gouvernorat de Bèja,Rural,Féminin,Autres,59
42,Gouvernorat de Jendouba,Communal,Masculin,Autres,166
43,Gouvernorat de Jendouba,Communal,Féminin,Autres,175
44,Gouvernorat de Jendouba,Rural,Masculin,Autres,100
45,Gouvernorat de Jendouba,Rural,Féminin,Autres,114
46,Gouvernorat du Kef,Communal,Masculin,Autres,186
47,Gouvernorat du Kef,Communal,Féminin,Autres,207
48,Gouvernorat du Kef,Rural,Masculin,Autres,54
49,Gouvernorat du Kef,Rural,Féminin,Autres,67
50,Gouvernorat de Siliana,Communal,Masculin,Autres,107
51,Gouvernorat de Siliana,Communal,Féminin,Autres,98
52,Gouvernorat de Siliana,Rural,Masculin,Autres,45
53,Gouvernorat de Siliana,Rural,Féminin,Autres,56
54,Centre Est,Communal,Masculin,Autres,2535
55,Centre Est,Communal,Féminin,Autres,2347
56,Centre Est,Rural,Masculin,Autres,92
57,Centre Est,Rural,Féminin,Autres,144
58,Gouvernorat de Sousse,Communal,Masculin,Autres,915
59,Gouvernorat de Sousse,Communal,Féminin,Autres,894
60,Gouvernorat de Sousse,Rural,Masculin,Autres,13
61,Gouvernorat de Sousse,Rural,Féminin,Autres,23
62,Gouvernorat de Monastir,Communal,Masculin,Autres,440
63,Gouvernorat de Monastir,Communal,Féminin,Autres,397
64,Gouvernorat de Mahdia,Communal,Masculin,Autres,148
65,Gouvernorat de Mahdia,Communal,Féminin,Autres,151
66,Gouvernorat de Mahdia,Rural,Masculin,Autres,17
67,Gouvernorat de Mahdia,Rural,Féminin,Autres,36
68,Gouvernorat de Sfax,Communal,Masculin,Autres,1032
69,Gouvernorat de Sfax,Communal,Féminin,Autres,905
70,Gouvernorat de Sfax,Rural,Masculin,Autres,62
71,Gouvernorat de Sfax,Rural,Féminin,Autres,85
72,Centre Ouest,Communal,Masculin,Autres,585
73,Centre Ouest,Communal,Féminin,Autres,552
74,Centre Ouest,Rural,Masculin,Autres,217
75,Centre Ouest,Rural,Féminin,Autres,240
76,Gouvernorat de Kairouan,Communal,Masculin,Autres,242
77,Gouvernorat de Kairouan,Communal,Féminin,Autres,237
78,Gouvernorat de Kairouan,Rural,Masculin,Autres,68
79,Gouvernorat de Kairouan,Rural,Féminin,Autres,74
80,Gouvernorat de Kasserine,Communal,Masculin,Autres,199
81,Gouvernorat de Kasserine,Communal,Féminin,Autres,185
82,Gouvernorat de Kasserine,Rural,Masculin,Autres,96
83,Gouvernorat de Kasserine,Rural,Féminin,Autres,110
84,Gouvernorat de Sidi Bouzid,Communal,Masculin,Autres,144
85,Gouvernorat de Sidi Bouzid,Communal,Féminin,Autres,130
86,Gouvernorat de Sidi Bouzid,Rural,Masculin,Autres,53
87,Gouvernorat de Sidi Bouzid,Rural,Féminin,Autres,56
88,Sud Est,Communal,Masculin,Autres,949
89,Sud Est,Communal,Féminin,Autres,867
90,Sud Est,Rural,Masculin,Autres,122
91,Sud Est,Rural,Féminin,Autres,147
92,Gouvernorat de Gabès,Communal,Masculin,Autres,406
93,Gouvernorat de Gabès,Communal,Féminin,Autres,378
94,Gouvernorat de Gabès,Rural,Masculin,Autres,22
95,Gouvernorat de Gabès,Rural,Féminin,Autres,29
96,Gouvernorat de Medenine,Communal,Masculin,Autres,435
97,Gouvernorat de Medenine,Communal,Féminin,Autres,382
98,Gouvernorat de Medenine,Rural,Masculin,Autres,59
99,Gouvernorat de Medenine,Rural,Féminin,Autres,70
100,Gouvernorat de Tataouine,Communal,Masculin,Autres,108
101,Gouvernorat de Tataouine,Communal,Féminin,Autres,107
102,Gouvernorat de Tataouine,Rural,Masculin,Autres,41
103,Gouvernorat de Tataouine,Rural,Féminin,Autres,48
104,Sud Ouest,Communal,Masculin,Autres,280
105,Sud Ouest,Communal,Féminin,Autres,268
106,Sud Ouest,Rural,Masculin,Autres,186
107,Sud Ouest,Rural,Féminin,Autres,193
108,Gouvernorat de Gafsa,Communal,Masculin,Autres,141
109,Gouvernorat de Gafsa,Communal,Féminin,Autres,136
110,Gouvernorat de Gafsa,Rural,Masculin,Autres,165
111,Gouvernorat de Gafsa,Rural,Féminin,Autres,159
112,Gouvernorat de Tozeur,Communal,Masculin,Autres,70
113,Gouvernorat de Tozeur,Communal,Féminin,Autres,62
114,Gouvernorat de Tozeur,Rural,Masculin,Autres,9
115,Gouvernorat de Tozeur,Rural,Féminin,Autres,7
