,Régions,Milieu,Sexe,raison,POPULATION
103,Gouvernorat de Tataouine,Rural,Féminin,Emploi,82
104,Sud Ouest,Communal,Masculin,Emploi,2408
105,Sud Ouest,Communal,Féminin,Emploi,1087
106,Sud Ouest,Rural,Masculin,Emploi,2467
107,Sud Ouest,Rural,Féminin,Emploi,960
108,Gouvernorat de Gafsa,Communal,Masculin,Emploi,1015
109,Gouvernorat de Gafsa,Communal,Féminin,Emploi,481
110,Gouvernorat de Gafsa,Rural,Masculin,Emploi,2173
111,Gouvernorat de Gafsa,Rural,Féminin,Emploi,862
112,Gouvernorat de Tozeur,Communal,Masculin,Emploi,630
113,Gouvernorat de Tozeur,Communal,Féminin,Emploi,258
114,Gouvernorat de Tozeur,Rural,Masculin,Emploi,97
115,Gouvernorat de Tozeur,Rural,Féminin,Emploi,38
0,Tunisie,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,73917
1,Tunisie,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,48866
2,Tunisie,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,5089
3,Tunisie,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,3525
4,Nord Est,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,46841
5,Nord Est,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,30019
6,Nord Est,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,978
7,Nord Est,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,599
8,Gouvernorat de Tunis,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,22979
9,Gouvernorat de Tunis,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,15091
10,Gouvernorat de L'Ariana,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,7634
11,Gouvernorat de L'Ariana,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,4493
12,Gouvernorat de L'Ariana,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,46
13,Gouvernorat de L'Ariana,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,17
14,Gouvernorat de Ben Arous,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,8571
15,Gouvernorat de Ben Arous,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,5568
16,Gouvernorat de Ben Arous,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,50
17,Gouvernorat de Ben Arous,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,31
18,Gouvernorat de Manouba,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,2898
19,Gouvernorat de Manouba,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,1667
20,Gouvernorat de Manouba,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,134
21,Gouvernorat de Manouba,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,62
22,Gouvernorat de Nabeul,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,2351
23,Gouvernorat de Nabeul,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,1612
24,Gouvernorat de Nabeul,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,266
25,Gouvernorat de Nabeul,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,170
26,Gouvernorat de Zaghouan,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,417
27,Gouvernorat de Zaghouan,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,246
28,Gouvernorat de Zaghouan,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,145
29,Gouvernorat de Zaghouan,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,88
30,Gouvernorat de Bizerte,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,1991
31,Gouvernorat de Bizerte,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,1342
32,Gouvernorat de Bizerte,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,337
33,Gouvernorat de Bizerte,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,231
34,Nord Ouest,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,3803
35,Nord Ouest,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,2530
36,Nord Ouest,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,1255
37,Nord Ouest,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,934
38,Gouvernorat de Bèja,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,931
39,Gouvernorat de Bèja,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,642
40,Gouvernorat de Bèja,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,241
41,Gouvernorat de Bèja,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,201
42,Gouvernorat de Jendouba,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,961
43,Gouvernorat de Jendouba,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,653
44,Gouvernorat de Jendouba,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,429
45,Gouvernorat de Jendouba,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,316
46,Gouvernorat du Kef,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,1063
47,Gouvernorat du Kef,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,711
48,Gouvernorat du Kef,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,273
49,Gouvernorat du Kef,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,214
50,Gouvernorat de Siliana,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,848
51,Gouvernorat de Siliana,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,524
52,Gouvernorat de Siliana,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,312
53,Gouvernorat de Siliana,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,203
54,Centre Est,Communal,Masculin,Acquisition de logement ou meilleur condition de vie,15478
55,Centre Est,Communal,Féminin,Acquisition de logement ou meilleur condition de vie,11089
56,Centre Est,Rural,Masculin,Acquisition de logement ou meilleur condition de vie,539
57,Centre Est,Rural,Féminin,Acquisition de logement ou meilleur condition de vie,394
