Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Nord Ouest,47330
28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Nord Ouest,1145
28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Nord Ouest,5629
28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Nord Ouest,34904
28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Nord Ouest,10371
28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Nord Ouest,5472
28001579,2014-01-01 00:00:00,Rural,Masculin,"Education, Santé et services administratifs",Nord Ouest,18366
28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Nord Ouest,4533
28001579,2014-01-01 00:00:00,Rural,Masculin,Non Declaré,Nord Ouest,149
28001579,2014-01-01 00:00:00,Rural,Féminin,Population occupée agée de 15 ans et plus,Nord Ouest,25964
28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Nord Ouest,12019
28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Nord Ouest,76
28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Nord Ouest,4520
28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Nord Ouest,381
28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Nord Ouest,1344
28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Nord Ouest,127
28001579,2014-01-01 00:00:00,Rural,Féminin,"Education, Santé et services administratifs",Nord Ouest,5997
28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Nord Ouest,1434
28001579,2014-01-01 00:00:00,Rural,Féminin,Non Declaré,Nord Ouest,66
28001579,2014-01-01 00:00:00,Communal,Masculin,Population occupée agée de 15 ans et plus,Centre Est,426425
28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Centre Est,21090
28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Centre Est,7135
28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Centre Est,89030
28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Centre Est,72751
28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Centre Est,69573
28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Centre Est,28073
28001579,2014-01-01 00:00:00,Communal,Masculin,"Education, Santé et services administratifs",Centre Est,77348
28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Centre Est,60752
28001579,2014-01-01 00:00:00,Communal,Masculin,Non Declaré,Centre Est,673
28001579,2014-01-01 00:00:00,Communal,Féminin,Population occupée agée de 15 ans et plus,Centre Est,200176
28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Centre Est,2110
28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Centre Est,989
28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Centre Est,85670
28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Centre Est,1555
28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Centre Est,15851
28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Centre Est,1893
28001579,2014-01-01 00:00:00,Communal,Féminin,"Education, Santé et services administratifs",Centre Est,65517
28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Centre Est,26063
28001579,2014-01-01 00:00:00,Communal,Féminin,Non Declaré,Centre Est,528
28001579,2014-01-01 00:00:00,Rural,Masculin,Population occupée agée de 15 ans et plus,Centre Est,145825
28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Centre Est,22623
28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Centre Est,1575
28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Centre Est,20849
28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Centre Est,45591
28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Centre Est,19560
28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Centre Est,7278
28001579,2014-01-01 00:00:00,Rural,Masculin,"Education, Santé et services administratifs",Centre Est,14915
