Indicateurs: Clé,Date,Milieu,Sexe,trancheAge,Regions,FaitsValeur
28007659,2014-01-01 00:00:00,Rural,Féminin,20-24 ans,Nord Ouest,3337
28007659,2014-01-01 00:00:00,Rural,Féminin,25-29 ans,Nord Ouest,4164
28007659,2014-01-01 00:00:00,Rural,Féminin,30-34 ans,Nord Ouest,2387
28007659,2014-01-01 00:00:00,Rural,Féminin,35-39 ans,Nord Ouest,1232
28007659,2014-01-01 00:00:00,Rural,Féminin,40-44 ans,Nord Ouest,733
28007659,2014-01-01 00:00:00,Rural,Féminin,45-49 ans,Nord Ouest,507
28007659,2014-01-01 00:00:00,Rural,Féminin,50-59 ans,Nord Ouest,483
28007659,2014-01-01 00:00:00,Rural,Féminin,60+ ans,Nord Ouest,174
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Centre Est,3894
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Centre Est,9014
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Centre Est,10141
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Centre Est,5118
28007659,2014-01-01 00:00:00,Communal,Masculin,35-39 ans,Centre Est,2385
28007659,2014-01-01 00:00:00,Communal,Masculin,40-44 ans,Centre Est,1393
28007659,2014-01-01 00:00:00,Communal,Masculin,45-49 ans,Centre Est,1051
28007659,2014-01-01 00:00:00,Communal,Masculin,50-59 ans,Centre Est,1555
28007659,2014-01-01 00:00:00,Communal,Masculin,60+ ans,Centre Est,505
28007659,2014-01-01 00:00:00,Communal,Féminin,15-19 ans,Centre Est,1895
28007659,2014-01-01 00:00:00,Communal,Féminin,20-24 ans,Centre Est,7049
28007659,2014-01-01 00:00:00,Communal,Féminin,25-29 ans,Centre Est,12681
28007659,2014-01-01 00:00:00,Communal,Féminin,30-34 ans,Centre Est,7808
28007659,2014-01-01 00:00:00,Communal,Féminin,35-39 ans,Centre Est,3459
28007659,2014-01-01 00:00:00,Communal,Féminin,40-44 ans,Centre Est,1427
28007659,2014-01-01 00:00:00,Communal,Féminin,45-49 ans,Centre Est,827
28007659,2014-01-01 00:00:00,Communal,Féminin,50-59 ans,Centre Est,730
28007659,2014-01-01 00:00:00,Communal,Féminin,60+ ans,Centre Est,213
28007659,2014-01-01 00:00:00,Rural,Masculin,15-19 ans,Centre Est,2829
28007659,2014-01-01 00:00:00,Rural,Masculin,20-24 ans,Centre Est,4313
28007659,2014-01-01 00:00:00,Rural,Masculin,25-29 ans,Centre Est,4180
28007659,2014-01-01 00:00:00,Rural,Masculin,30-34 ans,Centre Est,2508
28007659,2014-01-01 00:00:00,Rural,Masculin,35-39 ans,Centre Est,1675
28007659,2014-01-01 00:00:00,Rural,Masculin,40-44 ans,Centre Est,1013
28007659,2014-01-01 00:00:00,Rural,Masculin,45-49 ans,Centre Est,930
28007659,2014-01-01 00:00:00,Rural,Masculin,50-59 ans,Centre Est,1462
28007659,2014-01-01 00:00:00,Rural,Masculin,60+ ans,Centre Est,464
28007659,2014-01-01 00:00:00,Rural,Féminin,15-19 ans,Centre Est,1427
28007659,2014-01-01 00:00:00,Rural,Féminin,20-24 ans,Centre Est,2582
28007659,2014-01-01 00:00:00,Rural,Féminin,25-29 ans,Centre Est,3352
28007659,2014-01-01 00:00:00,Rural,Féminin,30-34 ans,Centre Est,1921
28007659,2014-01-01 00:00:00,Rural,Féminin,35-39 ans,Centre Est,968
28007659,2014-01-01 00:00:00,Rural,Féminin,40-44 ans,Centre Est,465
28007659,2014-01-01 00:00:00,Rural,Féminin,45-49 ans,Centre Est,297
28007659,2014-01-01 00:00:00,Rural,Féminin,50-59 ans,Centre Est,288
28007659,2014-01-01 00:00:00,Rural,Féminin,60+ ans,Centre Est,82
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Centre Ouest,1809
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Centre Ouest,4405
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Centre Ouest,5664
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Centre Ouest,3509
28007659,2014-01-01 00:00:00,Communal,Masculin,35-39 ans,Centre Ouest,1797
28007659,2014-01-01 00:00:00,Communal,Masculin,40-44 ans,Centre Ouest,998
28007659,2014-01-01 00:00:00,Communal,Masculin,45-49 ans,Centre Ouest,635
28007659,2014-01-01 00:00:00,Communal,Masculin,50-59 ans,Centre Ouest,956
28007659,2014-01-01 00:00:00,Communal,Masculin,60+ ans,Centre Ouest,397
28007659,2014-01-01 00:00:00,Communal,Féminin,15-19 ans,Centre Ouest,1106
28007659,2014-01-01 00:00:00,Communal,Féminin,20-24 ans,Centre Ouest,3691
28007659,2014-01-01 00:00:00,Communal,Féminin,25-29 ans,Centre Ouest,6394
28007659,2014-01-01 00:00:00,Communal,Féminin,30-34 ans,Centre Ouest,4136
28007659,2014-01-01 00:00:00,Communal,Féminin,35-39 ans,Centre Ouest,2073
28007659,2014-01-01 00:00:00,Communal,Féminin,40-44 ans,Centre Ouest,1131
28007659,2014-01-01 00:00:00,Communal,Féminin,45-49 ans,Centre Ouest,685
28007659,2014-01-01 00:00:00,Communal,Féminin,50-59 ans,Centre Ouest,708
28007659,2014-01-01 00:00:00,Communal,Féminin,60+ ans,Centre Ouest,184
28007659,2014-01-01 00:00:00,Rural,Masculin,15-19 ans,Centre Ouest,3316
28007659,2014-01-01 00:00:00,Rural,Masculin,20-24 ans,Centre Ouest,5019
28007659,2014-01-01 00:00:00,Rural,Masculin,25-29 ans,Centre Ouest,5064
28007659,2014-01-01 00:00:00,Rural,Masculin,30-34 ans,Centre Ouest,3447
28007659,2014-01-01 00:00:00,Rural,Masculin,35-39 ans,Centre Ouest,2273
28007659,2014-01-01 00:00:00,Rural,Masculin,40-44 ans,Centre Ouest,1464
