,Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
1318,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Kelibia,30
1321,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Délégation de Hammam El Guezaz,904
1322,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Délégation de Hammam El Guezaz,34
1323,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Délégation de Hammam El Guezaz,571
1324,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Délégation de Hammam El Guezaz,725
1325,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Délégation de Hammam El Guezaz,339
1326,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Délégation de Hammam El Guezaz,179
1327,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Délégation de Hammam El Guezaz,515
1328,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Délégation de Hammam El Guezaz,249
1331,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Délégation de Hammam El Guezaz,255
1332,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Délégation de Hammam El Guezaz,2
1333,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Délégation de Hammam El Guezaz,451
1334,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Délégation de Hammam El Guezaz,9
1335,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Délégation de Hammam El Guezaz,120
1336,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Délégation de Hammam El Guezaz,17
1337,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Délégation de Hammam El Guezaz,356
1338,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Délégation de Hammam El Guezaz,118
1341,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Hammam El Guezaz,358
1342,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Hammam El Guezaz,6
1343,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Hammam El Guezaz,52
1344,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Hammam El Guezaz,67
1345,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Hammam El Guezaz,36
1346,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Hammam El Guezaz,18
1347,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Hammam El Guezaz,32
1348,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Hammam El Guezaz,26
1351,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Hammam El Guezaz,187
1352,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Hammam El Guezaz,0
1353,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Hammam El Guezaz,55
1354,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Hammam El Guezaz,0
1355,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Hammam El Guezaz,5
1356,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de Hammam El Guezaz,2
1357,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de Hammam El Guezaz,21
1358,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Hammam El Guezaz,8
1361,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Délégation de Beni Khalled,938
1362,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Délégation de Beni Khalled,89
1363,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Délégation de Beni Khalled,1002
1364,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Délégation de Beni Khalled,855
1365,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Délégation de Beni Khalled,1038
1366,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Délégation de Beni Khalled,305
1367,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Délégation de Beni Khalled,878
1368,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Délégation de Beni Khalled,539
1371,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Délégation de Beni Khalled,114
1372,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Délégation de Beni Khalled,7
1373,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Délégation de Beni Khalled,1047
1374,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Délégation de Beni Khalled,10
1375,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Délégation de Beni Khalled,869
1376,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Délégation de Beni Khalled,28
1377,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Délégation de Beni Khalled,664
1378,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Délégation de Beni Khalled,217
1381,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Beni Khalled,1134
1382,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Beni Khalled,59
1383,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Beni Khalled,671
1384,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Beni Khalled,553
1385,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Beni Khalled,500
1386,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Beni Khalled,273
1387,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Beni Khalled,291
1388,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Beni Khalled,212
1391,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Beni Khalled,346
1392,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Beni Khalled,2
1393,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Beni Khalled,778
1394,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Beni Khalled,7
1395,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Beni Khalled,710
1396,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de Beni Khalled,14
1397,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de Beni Khalled,156
1398,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Beni Khalled,146
1401,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Délégation de Grombalia,154
1402,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Délégation de Grombalia,86
1403,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Délégation de Grombalia,1991
1404,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Délégation de Grombalia,415
1405,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Délégation de Grombalia,881
1406,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Délégation de Grombalia,275
1407,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Délégation de Grombalia,1212
1408,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Délégation de Grombalia,877
1411,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Délégation de Grombalia,39
1412,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Délégation de Grombalia,19
1413,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Délégation de Grombalia,1741
1414,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Délégation de Grombalia,8
1415,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Délégation de Grombalia,363
1416,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Délégation de Grombalia,35
1417,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Délégation de Grombalia,961
1418,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Délégation de Grombalia,402
1421,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Grombalia,1406
1422,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Grombalia,263
1423,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Grombalia,3221
1424,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Grombalia,1617
1425,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Grombalia,1021
1426,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Grombalia,579
1427,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Grombalia,912
1428,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Grombalia,1352
1431,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Grombalia,994
1432,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Grombalia,8
1433,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Grombalia,2946
1434,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Grombalia,32
1435,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Grombalia,408
1436,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de Grombalia,79
1437,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de Grombalia,606
1438,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Grombalia,626
1441,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Délégation de Bou Argoub,347
1442,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Délégation de Bou Argoub,39
1443,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Délégation de Bou Argoub,880
1444,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Délégation de Bou Argoub,364
1445,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Délégation de Bou Argoub,260
1446,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Délégation de Bou Argoub,163
1447,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Délégation de Bou Argoub,372
1448,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Délégation de Bou Argoub,444
1451,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Délégation de Bou Argoub,81
1452,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Délégation de Bou Argoub,4
1453,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Délégation de Bou Argoub,525
1454,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Délégation de Bou Argoub,3
1455,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Délégation de Bou Argoub,94
1456,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Délégation de Bou Argoub,18
1457,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Délégation de Bou Argoub,252
1458,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Délégation de Bou Argoub,182
1461,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Bou Argoub,1084
1462,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Bou Argoub,111
1463,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Bou Argoub,1301
1464,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Bou Argoub,487
1465,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Bou Argoub,341
1466,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Bou Argoub,218
1467,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Bou Argoub,450
1468,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Bou Argoub,619
1471,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Bou Argoub,459
1472,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Bou Argoub,2
1473,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Bou Argoub,953
1474,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Bou Argoub,1
1475,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Bou Argoub,108
1476,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de Bou Argoub,9
1477,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de Bou Argoub,186
1478,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Bou Argoub,110
1481,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Délégation de Hammamet,423
1482,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Délégation de Hammamet,83
1483,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Délégation de Hammamet,1519
1484,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Délégation de Hammamet,2991
1485,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Délégation de Hammamet,2538
1486,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Délégation de Hammamet,870
1487,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Délégation de Hammamet,2578
1488,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Délégation de Hammamet,7795
1491,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Délégation de Hammamet,86
1492,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Délégation de Hammamet,11
1493,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Délégation de Hammamet,813
1494,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Délégation de Hammamet,38
1495,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Délégation de Hammamet,863
1496,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Délégation de Hammamet,53
1497,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Délégation de Hammamet,2187
1498,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Délégation de Hammamet,2962
1501,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Hammamet,536
1502,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Hammamet,98
1503,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Hammamet,476
1504,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Hammamet,1391
1505,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Hammamet,571
1506,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Hammamet,404
1507,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Hammamet,391
1508,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Hammamet,2184
1511,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Hammamet,144
1512,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Hammamet,32
1513,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Hammamet,392
1514,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Hammamet,18
1515,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Hammamet,171
1516,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de Hammamet,14
1517,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de Hammamet,189
1518,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Hammamet,836
1521,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Délégation de En-Nadhour,116
1522,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Délégation de En-Nadhour,5
1523,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Délégation de En-Nadhour,296
1524,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Délégation de En-Nadhour,287
1525,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Délégation de En-Nadhour,266
1526,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Délégation de En-Nadhour,49
1527,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Délégation de En-Nadhour,497
1528,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Délégation de En-Nadhour,117
1531,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Délégation de En-Nadhour,6
1532,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Délégation de En-Nadhour,1
1533,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Délégation de En-Nadhour,434
1534,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Délégation de En-Nadhour,2
1535,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Délégation de En-Nadhour,45
1536,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Délégation de En-Nadhour,1
1537,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Délégation de En-Nadhour,296
1538,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Délégation de En-Nadhour,32
1541,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de En-Nadhour,1074
1542,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de En-Nadhour,15
1543,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de En-Nadhour,302
1544,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de En-Nadhour,1353
1545,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de En-Nadhour,306
1546,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de En-Nadhour,112
1547,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de En-Nadhour,389
1548,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de En-Nadhour,194
1551,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de En-Nadhour,554
1552,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de En-Nadhour,1
1553,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de En-Nadhour,714
1554,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de En-Nadhour,18
1555,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de En-Nadhour,16
1556,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de En-Nadhour,2
1557,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de En-Nadhour,130
1558,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de En-Nadhour,65
1561,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Saouaf,354
1562,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Saouaf,26
1563,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Saouaf,248
1564,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Saouaf,954
1565,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Saouaf,156
1566,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Saouaf,52
1567,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Saouaf,439
1568,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Saouaf,160
1571,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Saouaf,156
1572,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Saouaf,2
1573,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Saouaf,434
1574,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Saouaf,18
1575,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Saouaf,37
1576,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de Saouaf,2
1577,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de Saouaf,147
1578,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Saouaf,42
1581,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Djoumine,3032
1582,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Djoumine,41
1583,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Djoumine,296
1584,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Djoumine,1756
1585,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Djoumine,325
1586,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Djoumine,104
1587,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Djoumine,608
1588,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Djoumine,113
1591,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Djoumine,106
1592,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Djoumine,1
1593,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Djoumine,187
1594,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Djoumine,45
1595,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Djoumine,36
1596,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de Djoumine,3
1597,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de Djoumine,163
1598,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Djoumine,77
1601,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Délégation de Mateur,578
1602,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Délégation de Mateur,80
1603,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Délégation de Mateur,1763
1604,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Délégation de Mateur,790
1605,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Délégation de Mateur,1250
1606,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Délégation de Mateur,396
1607,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Délégation de Mateur,1460
1608,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Délégation de Mateur,488
1611,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Délégation de Mateur,64
1612,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Délégation de Mateur,9
1613,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Délégation de Mateur,2168
1614,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Délégation de Mateur,33
1615,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Délégation de Mateur,172
1616,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Délégation de Mateur,19
1617,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Délégation de Mateur,802
1618,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Délégation de Mateur,202
1621,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Mateur,1676
1622,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Mateur,29
1623,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Mateur,432
1624,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Mateur,478
1625,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Mateur,227
1626,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Mateur,136
1627,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Mateur,295
1628,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Mateur,67
1631,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Mateur,205
1632,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Mateur,1
1633,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Mateur,630
1634,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Mateur,12
1635,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Mateur,33
1636,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Délégation de Mateur,0
1637,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Délégation de Mateur,72
1638,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Délégation de Mateur,24
1641,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Délégation de Ghezala,2226
1642,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Délégation de Ghezala,80
1643,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Délégation de Ghezala,551
1644,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Délégation de Ghezala,1602
1645,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Délégation de Ghezala,424
1646,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Délégation de Ghezala,173
1647,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Délégation de Ghezala,784
1648,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Délégation de Ghezala,158
1651,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Délégation de Ghezala,484
1652,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Délégation de Ghezala,5
1653,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Délégation de Ghezala,908
1654,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Délégation de Ghezala,33
1655,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Délégation de Ghezala,60
