,Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
74,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Nord Ouest,381
75,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Nord Ouest,1344
76,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Nord Ouest,127
77,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Nord Ouest,5997
78,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Nord Ouest,1434
81,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Centre Est,21090
82,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Centre Est,7135
83,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Centre Est,89030
84,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Centre Est,72751
85,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Centre Est,69573
86,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Centre Est,28073
87,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Centre Est,77348
88,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Centre Est,60752
91,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Centre Est,2110
92,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Centre Est,989
93,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Centre Est,85670
94,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Centre Est,1555
95,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Centre Est,15851
96,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Centre Est,1893
97,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Centre Est,65517
98,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Centre Est,26063
101,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Centre Est,22623
102,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Centre Est,1575
103,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Centre Est,20849
104,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Centre Est,45591
105,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Centre Est,19560
106,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Centre Est,7278
107,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Centre Est,14915
108,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Centre Est,13286
111,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Centre Est,5819
112,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Centre Est,121
113,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Centre Est,18702
114,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Centre Est,620
115,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Centre Est,2446
116,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Centre Est,197
117,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Centre Est,6466
118,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Centre Est,4003
121,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Centre Ouest,3142
122,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Centre Ouest,1516
123,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Centre Ouest,9011
124,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Centre Ouest,17394
125,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Centre Ouest,17930
126,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Centre Ouest,5542
127,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Centre Ouest,35792
128,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Centre Ouest,7035
131,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Centre Ouest,1034
132,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Centre Ouest,345
133,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Centre Ouest,5547
134,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Centre Ouest,299
135,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Centre Ouest,3190
136,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Centre Ouest,293
137,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Centre Ouest,22621
138,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Centre Ouest,2988
141,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Centre Ouest,52957
142,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Centre Ouest,1419
143,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Centre Ouest,5999
144,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Centre Ouest,62006
145,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Centre Ouest,19910
146,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Centre Ouest,6683
147,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Centre Ouest,20973
148,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Centre Ouest,4392
151,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Centre Ouest,25425
152,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Centre Ouest,191
153,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Centre Ouest,5562
154,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Centre Ouest,1021
155,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Centre Ouest,1508
156,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Centre Ouest,100
157,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Centre Ouest,6157
158,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Centre Ouest,1211
161,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de Tunis,1936
162,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de Tunis,6457
163,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de Tunis,28718
164,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de Tunis,26635
165,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de Tunis,46266
166,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de Tunis,21939
167,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Gouvernorat de Tunis,64020
168,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de Tunis,45228
