Indicateur: Clé,Date,Milieu,Sexe,Niveau d''instruction,Régions,population
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Gabès,2445
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Gabès,15948
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Gabès,12406
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Gabès,3173
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Medenine,57880
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Medenine,64259
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Medenine,16412
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Medenine,55900
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Medenine,53559
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Medenine,17903
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Medenine,15730
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Medenine,14028
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Medenine,2813
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Medenine,15036
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Medenine,12440
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Medenine,3595
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Tataouine,12673
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Tataouine,16837
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Tataouine,4263
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Tataouine,13083
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Tataouine,14806
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Tataouine,5009
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Tataouine,8300
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Tataouine,7663
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Tataouine,1326
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Tataouine,8485
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Tataouine,7051
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Tataouine,1439
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Gafsa,32597
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Gafsa,46493
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Gafsa,12592
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Gafsa,30402
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Gafsa,37537
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Gafsa,14549
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Gafsa,12477
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Gafsa,11475
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Gafsa,2315
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Gafsa,9365
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Gafsa,8869
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Gafsa,2263
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Tozeur,11585
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Tozeur,12806
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Tozeur,3224
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Tozeur,10808
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Tozeur,11235
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Tozeur,4134
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Tozeur,5390
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Tozeur,4960
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Tozeur,865
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Tozeur,4459
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Tozeur,4143
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Tozeur,1126
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Kébili,12050
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Kébili,14756
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Kébili,3869
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Kébili,10175
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Kébili,11940
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Kébili,5288
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Kébili,9760
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Kébili,12308
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Kébili,2445
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Kébili,8759
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Kébili,9993
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Kébili,3318
